nx,ny,nz,N,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
93,93,93,804357,OpenMP_v2,0.660155,0.1507,0.657880,0.1489,5.18e-16
93,93,93,804357,OpenMP_v3,0.105263,0.9454,0.101891,0.9611,4.44e-16
103,103,103,1092727,Escalar,0.133930,1.0000,0.132366,1.0000,0.00e+00
103,103,103,1092727,AVX256,0.111146,1.2050,0.109690,1.2067,4.44e-16
103,103,103,1092727,AVX512,0.111147,1.2050,0.109855,1.2049,4.44e-16
103,103,103,1092727,OpenMP_v1,0.133486,1.0033,0.132358,1.0001,0.00e+00
103,103,103,1092727,OpenMP_v2,0.896418,0.1494,0.895606,0.1478,5.18e-16
103,103,103,1092727,OpenMP_v3,0.138155,0.9694,0.136944,0.9666,4.44e-16
113,113,113,1442897,Escalar,0.175703,1.0000,0.174724,1.0000,0.00e+00
113,113,113,1442897,AVX256,0.149738,1.1734,0.146209,1.1950,4.80e-16
113,113,113,1442897,AVX512,0.147430,1.1918,0.146037,1.1964,4.80e-16
113,113,113,1442897,OpenMP_v1,0.179235,0.9803,0.176518,0.9898,0.00e+00
113,113,113,1442897,OpenMP_v2,1.187240,0.1480,1.184283,0.1475,5.43e-16
113,113,113,1442897,OpenMP_v3,0.184624,0.9517,0.182890,0.9553,4.44e-16
123,123,123,1860867,Escalar,0.229432,1.0000,0.225698,1.0000,0.00e+00
123,123,123,1860867,AVX256,0.187854,1.2213,0.186194,1.2122,5.86e-16
123,123,123,1860867,AVX512,0.188105,1.2197,0.185890,1.2141,5.86e-16
123,123,123,1860867,OpenMP_v1,0.227852,1.0069,0.225252,1.0020,0.00e+00
123,123,123,1860867,OpenMP_v2,1.537968,0.1492,1.535033,0.1470,5.42e-16
123,123,123,1860867,OpenMP_v3,0.239745,0.9570,0.235118,0.9599,4.44e-16
133,133,133,2352637,Escalar,0.285613,1.0000,0.283910,1.0000,0.00e+00
133,133,133,2352637,AVX256,0.237206,1.2041,0.234539,1.2105,5.90e-16
133,133,133,2352637,AVX512,0.235222,1.2142,0.233434,1.2162,5.90e-16
133,133,133,2352637,OpenMP_v1,0.287265,0.9942,0.284179,0.9991,0.00e+00
133,133,133,2352637,OpenMP_v2,1.998146,0.1429,1.985686,0.1430,5.40e-16
133,133,133,2352637,OpenMP_v3,0.309399,0.9231,0.306535,0.9262,4.64e-16
143,143,143,2924207,Escalar,0.380090,1.0000,0.375452,1.0000,0.00e+00
143,143,143,2924207,AVX256,0.299027,1.2711,0.292845,1.2821,4.69e-16
143,143,143,2924207,AVX512,0.301809,1.2594,0.295964,1.2686,4.69e-16
143,143,143,2924207,OpenMP_v1,0.374737,1.0143,0.369964,1.0148,0.00e+00
143,143,143,2924207,OpenMP_v2,2.549954,0.1491,2.499410,0.1502,5.39e-16
143,143,143,2924207,OpenMP_v3,0.452599,0.8398,0.409964,0.9158,4.59e-16
153,153,153,3581577,Escalar,0.516746,1.0000,0.485151,1.0000,0.00e+00
153,153,153,3581577,AVX256,0.392717,1.3158,0.380353,1.2755,4.74e-16
153,153,153,3581577,AVX512,0.390604,1.3229,0.381176,1.2728,4.74e-16
153,153,153,3581577,OpenMP_v1,0.477746,1.0816,0.464905,1.0435,0.00e+00
153,153,153,3581577,OpenMP_v2,3.053915,0.1692,3.063447,0.1584,5.39e-16
153,153,153,3581577,OpenMP_v3,0.488892,1.0570,0.473288,1.0251,4.70e-16
163,163,163,4330747,Escalar,0.541324,1.0000,0.534935,1.0000,0.00e+00
163,163,163,4330747,AVX256,0.487765,1.1098,0.491276,1.0889,4.69e-16
163,163,163,4330747,AVX512,0.521527,1.0380,0.503987,1.0614,4.69e-16
163,163,163,4330747,OpenMP_v1,0.582807,0.9288,0.574905,0.9305,0.00e+00
163,163,163,4330747,OpenMP_v2,3.778605,0.1433,3.777374,0.1416,5.37e-16
163,163,163,4330747,OpenMP_v3,0.569434,0.9506,0.557027,0.9603,4.67e-16
173,173,173,5177717,Escalar,0.633226,1.0000,0.626085,1.0000,0.00e+00
173,173,173,5177717,AVX256,0.528138,1.1990,0.523161,1.1967,5.93e-16
173,173,173,5177717,AVX512,0.528101,1.1991,0.522017,1.1994,5.93e-16
173,173,173,5177717,OpenMP_v1,0.638928,0.9911,0.629900,0.9939,0.00e+00
173,173,173,5177717,OpenMP_v2,4.295551,0.1474,4.290139,0.1459,5.36e-16
173,173,173,5177717,OpenMP_v3,0.669420,0.9459,0.659606,0.9492,4.75e-16
183,183,183,6128487,Escalar,0.756103,1.0000,0.748673,1.0000,0.00e+00
183,183,183,6128487,AVX256,0.626472,1.2069,0.615877,1.2156,5.93e-16
183,183,183,6128487,AVX512,0.623141,1.2134,0.615940,1.2155,5.93e-16
183,183,183,6128487,OpenMP_v1,0.754298,1.0024,0.745109,1.0048,0.00e+00
183,183,183,6128487,OpenMP_v2,5.088585,0.1486,5.079271,0.1474,5.35e-16
183,183,183,6128487,OpenMP_v3,0.790753,0.9562,0.779926,0.9599,4.59e-16
193,193,193,7189057,Escalar,0.878619,1.0000,0.867948,1.0000,0.00e+00
193,193,193,7189057,AVX256,0.761612,1.1536,0.750329,1.1568,5.95e-16
193,193,193,7189057,AVX512,0.762299,1.1526,0.746528,1.1626,5.95e-16
193,193,193,7189057,OpenMP_v1,0.928129,0.9467,0.909917,0.9539,0.00e+00
193,193,193,7189057,OpenMP_v2,6.166601,0.1425,6.141137,0.1413,5.34e-16
193,193,193,7189057,OpenMP_v3,0.968563,0.9071,0.941348,0.9220,4.48e-16
